category	n_clusters	n_ft	n_bs	max_ft	max_bs	min_ft	min_bs
PF12457	1	2	2	2	2	2	2
PF12481	1	2	0	2	0	2	0
PF12515	1	2	0	2	0	2	0
PF12695	2	5	4	3	3	2	1
PF12697	2	4	3	2	3	2	0
PF12796	13	37	16	6	4	2	0
PF12799	3	6	5	2	4	2	0
PF12819	11	23	9	3	3	2	0
PF12899	1	2	3	2	3	2	3
PF12937	2	4	2	2	1	2	1
PF13041	16	35	24	4	5	2	0
PF13086	1	2	0	2	0	2	0
PF13087	1	2	0	2	0	2	0
PF13091	1	3	4	3	4	3	4
PF13129	1	2	0	2	0	2	0
PF13193	1	2	0	2	0	2	0
PF13202	1	2	3	2	3	2	3
PF13347	1	2	0	2	0	2	0
PF13360	2	5	2	3	2	2	0
PF13371	6	15	1	4	1	2	0
PF13409	1	2	0	2	0	2	0
PF13410	2	5	2	3	2	2	0
PF13414	3	6	2	2	2	2	0
PF13417	2	4	4	2	3	2	1
PF13489	1	3	7	3	7	3	7
PF13499	4	8	9	2	3	2	1
PF13561	7	20	4	5	3	2	0
PF13630	1	2	1	2	1	2	1
PF13632	1	2	0	2	0	2	0
PF13637	2	5	8	3	5	2	3
PF13639	2	4	1	2	1	2	0
PF13650	2	4	0	2	0	2	0
PF13668	2	4	0	2	0	2	0
PF13672	3	6	0	2	0	2	0
PF13676	1	2	0	2	0	2	0
PF13774	1	2	0	2	0	2	0
PF13833	1	2	0	2	0	2	0
PF13837	2	4	0	2	0	2	0
PF13839	1	2	1	2	1	2	1
PF13855	5	16	9	6	5	2	0
PF13857	2	4	1	2	1	2	0
PF13911	1	2	0	2	0	2	0
PF13920	2	4	3	2	2	2	1
PF13952	1	2	3	2	3	2	3
PF13960	5	10	15	2	4	2	2
PF13961	8	18	4	3	2	2	0
PF13962	11	28	8	5	3	2	0
PF13976	18	51	13	6	3	2	0
PF14009	2	4	0	2	0	2	0
PF14144	1	2	0	2	0	2	0
PF14214	3	6	7	2	4	2	0
PF14223	5	10	4	2	2	2	0
PF14226	6	14	7	3	2	2	0
PF14227	24	79	16	7	4	2	0
PF14244	1	2	0	2	0	2	0
PF14368	3	9	2	5	1	2	0
PF14379	2	4	1	2	1	2	0
PF14416	1	2	1	2	1	2	1
PF14432	7	16	7	4	3	2	0
PF14476	4	12	3	6	1	2	0
PF14510	2	5	0	3	0	2	0
PF14541	1	2	1	2	1	2	1
PF14714	1	2	3	2	3	2	3
PF14770	1	3	5	3	5	3	5
PF15474	1	2	2	2	2	2	2
PF15491	1	2	0	2	0	2	0
PF15801	1	2	2	2	2	2	2
PF16095	6	14	4	3	2	2	0
PF16123	1	2	0	2	0	2	0
PF16884	1	2	0	2	0	2	0
PF16916	1	2	0	2	0	2	0
PF16953	1	2	1	2	1	2	1
